rate_requests_s,run_id,time_s,measured_w_per_gpu,predicted_w_per_gpu
0.125,146,111,120.33999999999999,120.355
0.125,146,112,120.2875,120.355
0.125,146,113,120.3225,120.355
0.125,146,114,162.2875,178.20294629238975
0.125,146,115,402.105,413.9288494685159
0.125,146,116,436.87499999999994,434.71930121865023
0.125,146,117,378.02750000000003,368.51255986941135
0.125,146,118,141.01000000000002,137.5698119937144
0.125,146,119,119.99999999999999,120.355
0.125,146,120,119.83,120.355
0.125,146,121,192.9075,194.3914455616046
0.125,146,122,149.945,151.15590494623146
0.125,146,123,119.0675,120.355
0.125,146,124,118.71249999999999,120.355
0.125,146,125,118.53,120.355
0.125,146,126,118.4725,120.355
0.125,146,127,118.435,120.355
0.125,146,128,118.505,120.355
0.125,146,129,118.43,120.355
0.125,146,130,118.45000000000002,120.355
0.125,146,131,118.34,120.355
0.125,146,132,118.34,120.355
0.125,146,133,118.3575,120.355
0.125,146,134,118.30250000000001,120.355
0.125,146,135,118.33500000000001,120.355
0.125,146,136,118.29750000000001,120.355
0.125,146,137,118.295,120.355
0.125,146,138,118.2575,120.355
0.125,146,139,118.22999999999999,120.355
0.125,146,140,118.2475,120.355
0.125,146,141,119.48499999999999,120.355
0.125,146,142,329.6875,306.2175109000939
0.125,146,143,437.3075,440.29559960280665
0.125,146,144,433.59999999999997,436.62315617028435
0.125,146,145,349.1125,390.9559504391318
0.125,146,146,134.1,155.1944154482446
0.125,146,147,119.09,120.355
0.125,146,148,118.91499999999999,120.355
0.125,146,149,118.805,120.355
0.125,146,150,118.73,120.355
0.125,146,151,118.66250000000001,120.355
0.125,146,152,118.625,120.355
0.125,146,153,118.55250000000001,120.355
0.125,146,154,118.5375,120.355
0.125,146,155,118.49,120.355
0.125,146,156,118.46249999999999,120.355
0.125,146,157,148.5725,132.87049056488408
0.125,146,158,384.6575,354.1914232715139
0.125,146,159,432.32000000000005,434.4761289722421
0.125,146,160,274.3675,332.9244252654995
0.125,146,161,121.2825,125.75767262213375
0.125,146,162,120.98,120.355
0.125,146,163,120.8525,120.355
0.125,146,164,120.80250000000001,120.355
0.125,146,165,120.7025,120.355
0.125,146,166,120.66499999999999,120.355
0.125,146,167,120.6075,120.355
0.125,146,168,120.5575,120.355
0.125,146,169,143.995,129.27255951500197
0.125,146,170,213.96875,203.22655731933764
0.125,146,171,118.9675,120.355
0.125,146,172,118.5275,120.355
0.125,146,173,118.46499999999999,120.355
0.125,146,174,118.44,120.355
0.125,146,175,118.4175,120.355
0.125,146,176,118.39750000000001,120.355
0.125,146,177,118.305,120.355
0.125,146,178,118.2925,120.355
0.125,146,179,118.315,120.355
0.125,146,180,118.26,120.355
0.125,146,181,118.28500000000001,120.355
0.125,146,182,118.2575,120.355
0.125,146,183,118.225,120.355
0.125,146,184,118.2275,120.355
0.125,146,185,118.2075,120.355
0.125,146,186,245.22000000000003,246.8425086900794
0.125,146,187,440.57,435.4465909300866
0.125,146,188,441.23,434.88354291902294
0.125,146,189,440.725,434.9587233694209
0.125,146,190,376.20500000000004,395.39908878253084
0.125,146,191,133.5675,159.39940379636073
0.125,146,192,119.9075,120.355
0.125,146,193,119.645,120.355
0.125,146,194,119.53,120.355
0.125,146,195,119.76749999999998,120.355
0.125,146,196,119.905,120.355
0.125,146,197,119.37,120.355
0.125,146,198,119.2375,120.355
0.125,146,199,119.19999999999999,120.355
0.125,146,200,119.11250000000001,120.355
0.125,146,201,119.1125,120.355
0.125,146,202,119.08,120.355
0.125,146,203,119.22,120.355
0.125,146,204,119.63,120.355
0.125,146,205,119.5775,120.355
0.125,146,206,119.58500000000001,120.355
0.125,146,207,118.985,120.355
0.125,146,208,118.875,120.355
0.125,146,209,119.14999999999999,120.355
0.125,146,210,119.03999999999999,120.355
0.125,146,211,118.83250000000001,120.355
0.125,146,212,118.84499999999998,120.355
0.125,146,213,118.8075,120.355
0.125,146,214,118.79500000000002,120.355
0.125,146,215,118.74000000000001,120.355
0.125,146,216,118.74,120.355
0.125,146,217,307.7375,308.91443658264996
0.125,146,218,432.27250000000004,434.4873951078381
0.125,146,219,407.9425,417.8555862119208
0.125,146,220,176.065,188.0760700619966
0.125,146,221,118.9275,120.355
0.125,146,222,118.67750000000001,120.355
0.125,146,223,118.585,120.355
0.125,146,224,118.55249999999998,120.355
0.125,146,225,118.4725,120.355
0.125,146,226,118.4675,120.355
0.125,146,227,118.425,120.355
0.125,146,228,118.38749999999999,120.355
0.125,146,229,136.1475,130.05335069461117
0.125,146,230,367.65,345.7601032563092
0.125,146,231,214.13,256.5645981638959
0.125,146,232,118.66499999999999,120.355
0.125,146,233,118.49,120.355
0.125,146,234,149.0375,134.8022394754069
0.125,146,235,365.76249999999993,348.93261707453735
0.125,146,236,209.96749999999997,204.36044517610316
0.125,146,237,119.3925,120.355
0.125,146,238,119.1825,120.355
0.125,146,239,119.13999999999999,120.355
0.125,146,240,119.06,120.355
0.125,146,241,119.0525,120.355
0.125,146,242,118.9975,120.355
0.125,146,243,118.9725,120.355
0.125,146,244,118.955,120.355
0.125,146,245,118.905,120.355
0.125,146,246,121.43,123.183125239406
0.125,146,247,173.98999999999998,174.65535131459163
0.125,146,248,214.5875,221.45052448826993
0.125,146,249,129.3,126.24339950761482
0.125,146,250,118.39,120.355
0.125,146,251,118.3175,120.355
0.125,146,252,118.34750000000001,120.355
0.125,146,253,118.19500000000001,120.355
0.125,146,254,118.2275,120.355
0.125,146,255,118.21249999999999,120.355
0.125,146,256,265.01,266.9542092233174
0.125,146,257,429.7725,434.9596766977031
0.125,146,258,441.64750000000004,435.34283626683015
0.125,146,259,371.4175,379.468599151974
0.125,146,260,134.83499999999998,143.64364344056753
0.125,146,261,118.91499999999999,120.355
0.125,146,262,118.7275,120.355
0.125,146,263,118.61250000000001,120.355
0.125,146,264,118.63,120.355
0.125,146,265,118.5525,120.355
0.125,146,266,118.50999999999999,120.355
0.125,146,267,118.5075,120.355
0.125,146,268,118.31,120.355
0.125,146,269,118.35249999999999,120.355
0.125,146,270,118.32,120.355
0.125,146,271,118.33000000000001,120.355
0.125,146,272,118.31250000000001,120.355
0.125,146,273,118.2625,120.355
0.125,146,274,118.2625,120.355
0.125,146,275,118.2425,120.355
0.125,146,276,118.2075,120.355
0.125,146,277,118.225,120.355
0.125,146,278,118.16499999999999,120.355
0.125,146,279,118.13,120.355
0.125,146,280,194.0475,166.23122294651955
0.125,146,281,422.7625,401.78746090792515
0.125,146,282,281.0175,318.8421849373791
0.125,146,283,118.82500000000002,121.0758365766466
0.125,146,284,118.5175,120.355
0.125,146,285,118.47500000000001,120.355
0.125,146,286,124.4525,126.10177163807782
0.125,146,287,123.4075,124.42930149005818
0.125,146,288,118.24000000000001,120.355
0.125,146,289,118.21,120.355
0.125,146,290,122.49000000000001,123.29209493302702
0.125,146,291,127.0425,129.16628479908104
0.125,146,292,118.79,120.355
0.125,146,293,245.38,240.4526589696889
0.125,146,294,326.46,334.34958465054376
0.125,146,295,119.69500000000001,126.25612357094282
0.125,146,296,119.14500000000001,120.355
0.125,146,297,119.035,120.355
0.125,146,298,119.06750000000001,120.355
0.125,146,299,118.97999999999999,120.355
0.125,146,300,119.0275,120.355
0.125,146,301,118.95,120.355
0.125,146,302,118.9775,120.355
0.125,146,303,118.97500000000001,120.355
0.125,146,304,118.93,120.355
0.125,146,305,232.89249999999998,223.62584215213434
0.125,146,306,141.87,155.41774519716023
0.125,146,307,118.85,120.355
0.125,146,308,118.8125,120.355
0.125,146,309,126.9275,120.355
0.125,146,310,148.955,157.4837347518161
0.125,146,311,118.1575,120.355
0.125,146,312,118.04999999999998,120.355
0.125,146,313,118.10750000000002,120.355
0.125,146,314,118.07,120.355
0.125,146,315,118.04,120.355
0.125,146,316,157.8075,139.42628231129703
0.125,146,317,393.015,374.59319362607454
0.125,146,318,435.18499999999995,435.38321821178863
0.125,146,319,442.2525,434.7553797518134
0.125,146,320,419.5075,434.4936580317204
0.125,146,321,189.87,237.36189848307177
0.125,146,322,121.0175,120.355
0.125,146,323,120.9875,120.355
0.125,146,324,191.29000000000002,163.61865473228826
0.125,146,325,429.6875,399.4297601281902
0.125,146,326,435.83500000000004,434.8326837265299
0.125,146,327,440.9925,434.90798253562116
0.125,146,328,356.8025,376.03095078629383
0.125,146,329,135.6925,140.06924790770705
0.125,146,330,119.4225,120.355
0.125,146,331,119.2525,120.355
0.125,146,332,252.31,255.00385199239363
0.125,146,333,283.52,288.4813740247721
0.125,146,334,119.26,120.355
0.125,146,335,119.0425,120.355
0.125,146,336,118.9675,120.355
0.125,146,337,118.845,120.355
0.125,146,338,118.8,120.355
0.125,146,339,126.965,128.93050665970077
0.125,146,340,144.1725,146.08151997910232
0.125,146,341,118.60000000000001,120.355
0.125,146,342,118.54,120.355
0.125,146,343,118.57,120.355
0.125,146,344,118.5375,120.355
0.125,146,345,118.39249999999998,120.355
0.125,146,346,118.44,120.355
0.125,146,347,118.37,120.355
0.125,146,348,118.39750000000001,120.355
0.125,146,349,118.3475,120.355
0.125,146,350,118.31,120.355
0.125,146,351,118.28999999999999,120.355
0.125,146,352,118.25,120.355
0.125,146,353,118.245,120.355
0.125,146,354,118.2,120.355
0.125,146,355,118.19999999999999,120.355
0.125,146,356,118.2,120.355
0.125,146,357,118.17,120.355
0.125,146,358,118.1425,120.355
0.125,146,359,118.15125,120.355
0.125,146,360,118.0625,120.355
0.125,146,361,118.055,120.355
0.125,146,362,123.69749999999999,126.05959075909088
0.125,146,363,340.76,333.75528753715537
0.125,146,364,377.8825,388.39896089571045
0.125,146,365,141.5275,152.82175694758436
0.125,146,366,118.4675,120.355
0.125,146,367,118.2975,120.355
0.125,146,368,118.23,120.355
0.125,146,369,118.19500000000001,120.355
0.125,146,370,118.16999999999999,120.355
0.125,146,371,118.20249999999999,120.355
0.125,146,372,293.635,286.11444125492153
0.125,146,373,363.175,373.6476317951774
0.125,146,374,146.605,139.35167105697766
0.125,146,375,125.7225,126.45055569352007
0.125,146,376,126.155,126.45055569352007
0.125,146,377,118.98,120.355
0.125,146,378,118.9525,120.355
0.125,146,379,118.91749999999999,120.355
0.125,146,380,155.20749999999998,149.4017317043752
0.125,146,381,123.2775,130.0372439014584
0.125,146,382,118.78,120.355
0.125,146,383,118.7175,120.355
0.125,146,384,118.6925,120.355
0.125,146,385,118.66,120.355
0.125,146,386,118.7525,120.355
0.125,146,387,118.7225,120.355
0.125,146,388,118.68,120.355
0.125,146,389,149.4525,132.51121904404675
0.125,146,390,377.095,353.4596121388021
0.125,146,391,403.34000000000003,427.64712052451057
0.125,146,392,169.165,215.07515942320157
0.125,146,393,118.68,120.355
0.125,146,394,118.585,120.355
0.125,146,395,118.49249999999999,120.355
0.125,146,396,118.4175,120.355
0.125,146,397,118.3875,120.355
0.125,146,398,119.94749999999999,120.355
0.125,146,399,323.1475,274.5661643171483
0.125,146,400,432.1275,434.603575242887
0.125,146,401,439.8775,434.6794072633968
0.125,146,402,390.2325,419.2292622020374
0.125,146,403,150.61749999999998,191.69414540848976
0.125,146,404,119.045,120.355
0.125,146,405,118.905,120.355
0.125,146,406,118.7275,120.355
0.125,146,407,118.67750000000001,120.355
0.125,146,408,319.7675,306.3642592669478
0.125,146,409,416.76,425.64177781603706
0.125,146,410,389.6125,398.64769798538117
0.125,146,411,262.905,277.58905453054484
0.125,146,412,119.39999999999999,120.355
0.125,146,413,119.02,120.355
0.125,146,414,319.3375,302.9851763869568
0.125,146,415,417.185,419.21051193652227
0.125,146,416,178.84750000000003,191.30138255774253
0.125,146,417,141.535,137.2623842508974
0.125,146,418,143.0375,147.68481469969763
0.125,146,419,118.9625,120.355
0.125,146,420,118.8875,120.355
0.125,146,421,118.8275,120.355
0.125,146,422,118.7475,120.355
0.125,146,423,118.66499999999999,120.355
0.125,146,424,219.845,191.47247219345655
0.125,146,425,410.3175,415.81336897116114
0.125,146,426,198.45999999999998,228.95446270183456
0.125,146,427,119.6825,120.355
0.125,146,428,126.11500000000001,120.355
0.125,146,429,146.8,150.51693774108787
0.125,146,430,119.2625,120.355
0.125,146,431,119.1375,120.355
0.125,146,432,119.0475,120.355
0.125,146,433,118.995,120.355
0.125,146,434,118.95749999999998,120.355
0.125,146,435,118.91625,120.355
0.125,146,436,118.995,120.355
0.125,146,437,118.88,120.355
0.125,146,438,118.90250000000002,120.355
0.125,146,439,118.88749999999999,120.355
0.125,146,440,118.86250000000001,120.355
0.125,146,441,118.8375,120.355
0.125,146,442,118.805,120.355
0.125,146,443,118.78250000000001,120.355
0.125,146,444,118.80000000000001,120.355
0.125,146,445,118.77499999999999,120.355
0.125,146,446,118.7575,120.355
0.125,146,447,118.7375,120.355
0.125,146,448,118.69500000000001,120.355
0.125,146,449,118.67500000000001,120.355
0.125,146,450,118.66000000000001,120.355
0.125,146,451,118.705,120.355
0.125,146,452,118.6,120.355
0.125,146,453,118.5525,120.355
0.125,146,454,118.6125,120.355
0.125,146,455,118.58500000000001,120.355
0.125,146,456,118.6175,120.355
0.125,146,457,118.60499999999999,120.355
0.125,146,458,118.555,120.355
0.125,146,459,118.5875,120.355
0.125,146,460,118.5575,120.355
0.125,146,461,118.55,120.355
0.125,146,462,118.575,120.355
0.125,146,463,118.53750000000001,120.355
0.125,146,464,164.3725,141.0442925586206
0.125,146,465,404.295,376.9867092180607
0.125,146,466,274.4175,324.8252445078323
0.125,146,467,221.145,187.82547114677334
0.125,146,468,427.405,418.7516369713658
0.125,146,469,446.42499999999995,440.94493375677166
0.125,146,470,443.8025,435.4158964069817
0.125,146,471,442.4575,434.98855072686496
0.125,146,472,443.94,435.06348783924557
0.125,146,473,446.7825,435.13825157894354
0.125,146,474,357.785,398.974858833915
0.125,146,475,136.0525,162.84078733760327
0.125,146,476,121.57,120.355
0.125,146,477,145.0725,141.2611573214056
0.125,146,478,126.5675,127.3237191071352
0.125,146,479,170.635,147.9259183748773
0.125,146,480,332.00250000000005,342.698541891687
0.125,146,481,137.45749999999998,158.07758031264595
0.125,146,482,119.17250000000001,120.355
0.125,146,483,118.96000000000001,120.355
0.125,146,484,125.41499999999999,128.6379435362818
0.125,146,485,138.43750000000003,135.1938036123215
0.125,146,486,120.57000000000001,122.2712987344478
0.125,146,487,314.085,322.39022027768016
0.125,146,488,434.9,434.623896450501
0.125,146,489,433.07750000000004,435.06255839655864
0.125,146,490,430.7625,435.6687374260925
0.125,146,491,402.4475,400.7287213490814
0.125,146,492,165.35,164.4808064514756
0.125,146,493,120.0075,120.355
0.125,146,494,119.74000000000001,120.355
0.125,146,495,119.5375,120.355
0.125,146,496,119.4275,120.355
0.125,146,497,135.8525,132.2803807161984
0.125,146,498,166.505,169.86075425380056
0.125,146,499,324.3225,303.7663113657445
0.125,146,500,437.21500000000003,436.0836951389373
0.125,146,501,449.145,440.23905387395916
0.125,146,502,326.03999999999996,342.2727370263291
0.125,146,503,122.38749999999999,128.60219157013478
0.125,146,504,206.53500000000003,186.0295960879069
0.125,146,505,366.745,373.7083570924784
0.125,146,506,141.6725,155.4675059330135
0.125,146,507,120.7975,120.355
0.125,146,508,120.51249999999999,120.355
0.125,146,509,120.215,120.355
0.125,146,510,120.08,120.355
0.125,146,511,120.0025,120.355
0.125,146,512,119.97500000000001,120.355
0.125,146,513,119.825,120.355
0.125,146,514,119.75,120.355
0.125,146,515,119.785,120.355
0.125,146,516,120.1225,120.355
0.125,146,517,119.75999999999999,120.355
0.125,146,518,204.845,188.6570646195934
0.125,146,519,201.335,215.95070817990268
0.125,146,520,118.9725,121.96109845823555
0.125,146,521,118.81,120.355
0.125,146,522,118.83749999999999,120.355
0.125,146,523,118.7625,120.355
0.125,146,524,118.7175,120.355
0.125,146,525,118.6625,120.355
0.125,146,526,118.655,120.355
0.125,146,527,118.6675,120.355
0.125,146,528,118.6025,120.355
0.125,146,529,118.55499999999999,120.355
0.125,146,530,118.55250000000001,120.355
0.125,146,531,118.545,120.355
0.125,146,532,118.5375,120.355
0.125,146,533,123.315,124.86192207712372
0.125,146,534,222.02499999999998,194.79368615905327
0.125,146,535,369.25,380.60835778634294
0.125,146,536,137.185,160.99538315996702
0.125,146,537,120.2425,120.355
0.125,146,538,120.10500000000002,120.355
0.125,146,539,120.0725,120.355
0.125,146,540,119.9625,120.355
0.125,146,541,119.94749999999999,120.355
0.125,146,542,119.64250000000001,120.355
0.125,146,543,119.34000000000002,120.355
0.125,146,544,119.205,120.355
0.125,146,545,119.175,120.355
0.125,146,546,119.1875,120.355
0.125,146,547,119.18,120.355
0.125,146,548,119.155,120.355
0.125,146,549,119.155,120.355
0.125,146,550,119.16,120.355
0.125,146,551,119.10999999999999,120.355
0.125,146,552,119.12,120.355
0.125,146,553,119.08,120.355
0.125,146,554,119.0875,120.355
0.125,146,555,119.095,120.355
0.125,146,556,119.0425,120.355
0.125,146,557,119.07999999999998,120.355
0.125,146,558,119.06375,120.355
0.125,146,559,119.07,120.355
0.125,146,560,118.9875,120.355
0.125,146,561,118.98750000000001,120.355
0.125,146,562,119.025,120.355
0.125,146,563,118.995,120.355
0.125,146,564,148.72,148.42476914716474
0.125,146,565,138.19,143.50001773317373
0.125,146,566,118.3275,120.355
0.125,146,567,118.3175,120.355
0.125,146,568,118.27250000000001,120.355
0.125,146,569,146.9425,149.5847348936233
0.125,146,570,146.7625,149.5847348936233
0.125,146,571,118.25250000000001,120.355
0.125,146,572,118.29,120.355
0.125,146,573,118.315,120.355
0.125,146,574,118.27,120.355
0.125,146,575,118.19749999999999,120.355
0.125,146,576,118.23249999999999,120.355
0.125,146,577,118.21,120.355
0.125,146,578,118.25,120.355
0.125,146,579,118.215,120.355
0.125,146,580,118.22,120.355
0.125,146,581,118.22749999999999,120.355
0.125,146,582,118.21,120.355
0.125,146,583,118.22500000000001,120.355
0.125,146,584,118.23250000000002,120.355
0.125,146,585,118.16250000000001,120.355
0.125,146,586,118.19,120.355
0.125,146,587,118.2225,120.355
0.125,146,588,118.18249999999999,120.355
0.125,146,589,118.22125,120.355
0.125,146,590,118.125,120.355
0.125,146,591,118.1025,120.355
0.125,146,592,118.14249999999998,120.355
0.125,146,593,118.1825,120.355
0.125,146,594,118.1375,120.355
0.125,146,595,118.14500000000001,120.355
0.125,146,596,118.15750000000001,120.355
0.125,146,597,118.17500000000001,120.355
0.125,146,598,118.185,120.355
0.125,146,599,145.9775,155.0676973973221
1.0,153,0,423.4375,434.85393740655746
1.0,153,1,436.03249999999997,434.82666302350776
1.0,153,2,435.8225,435.02570907001757
1.0,153,3,429.335,436.1158082212376
1.0,153,4,435.265,440.18155571783456
1.0,153,5,443.3675,438.1292103645834
1.0,153,6,449.1675,441.1649514344624
1.0,153,7,437.65500000000003,434.9419579877506
1.0,153,8,438.6875,434.71695962008755
1.0,153,9,431.4725,434.75116389409743
1.0,153,10,208.37499999999997,271.6692922542878
1.0,153,11,162.4125,144.92008804800872
1.0,153,12,402.11,380.77553233940665
1.0,153,13,438.975,435.3775965478306
1.0,153,14,435.03249999999997,439.3874154605171
1.0,153,15,439.33000000000004,437.332033749495
1.0,153,16,438.37,434.8728278682064
1.0,153,17,342.86,376.2218005675892
1.0,153,18,355.0575,353.03658948746545
1.0,153,19,435.5075,436.39367420455443
1.0,153,20,437.52,435.5008788142969
1.0,153,21,437.965,437.46994264867266
1.0,153,22,322.76750000000004,361.9282324436574
1.0,153,23,213.2675,197.80535252564158
1.0,153,24,429.91499999999996,418.11182217973726
1.0,153,25,438.9075,434.86409112129365
1.0,153,26,440.16249999999997,434.9393170101578
1.0,153,27,439.23,435.7807557186571
1.0,153,28,440.69750000000005,435.31003940323814
1.0,153,29,440.09,439.3804118863635
1.0,153,30,369.265,395.62705056107166
1.0,153,31,268.33500000000004,282.65429668021306
1.0,153,32,280.7875,274.7627527849286
1.0,153,33,427.51750000000004,435.2565710792171
1.0,153,34,435.595,434.71394974765906
1.0,153,35,439.3325,434.99935170636513
1.0,153,36,441.775,435.2656650856648
1.0,153,37,431.83250000000004,431.17345402670054
1.0,153,38,307.28499999999997,309.3147283431009
1.0,153,39,221.9875,230.23537241783072
1.0,153,40,368.9075,366.6889839514045
1.0,153,41,448.06,440.64495377252234
1.0,153,42,456.9375,438.41369906943737
1.0,153,43,455.80499999999995,437.9947540121017
1.0,153,44,394.48999999999995,411.1634733940249
1.0,153,45,212.23000000000002,221.4229339251458
1.0,153,46,421.7475,402.93739662694577
1.0,153,47,435.40250000000003,442.59336045329167
1.0,153,48,258.7675,292.9091386821369
1.0,153,49,359.635,330.8062416705874
1.0,153,50,437.1925,438.76682214952456
1.0,153,51,439.1625,441.18737799111113
1.0,153,52,451.935,447.8117933488704
1.0,153,53,454.8175,438.6588824116975
1.0,153,54,411.1725,421.6796611374774
1.0,153,55,172.1625,190.39937790141136
1.0,153,56,122.9575,120.355
1.0,153,57,122.535,120.355
1.0,153,58,249.7625,228.33254217964512
1.0,153,59,443.58500000000004,440.0097383361016
1.0,153,60,452.7575,442.798652809071
1.0,153,61,449.97249999999997,441.95516427622937
1.0,153,62,449.015,439.81932204552265
1.0,153,63,467.0,446.0453450581339
1.0,153,64,463.26,439.8260187123054
1.0,153,65,394.61,425.91425707970086
1.0,153,66,163.195,191.87282501813687
1.0,153,67,352.22,316.26072884724414
1.0,153,68,242.8775,302.03516008613315
1.0,153,69,122.0875,120.355
1.0,153,70,143.605,133.16551745046786
1.0,153,71,191.5575,195.053687076794
1.0,153,72,137.2825,142.54733482334197
1.0,153,73,123.1725,120.355
1.0,153,74,125.24000000000001,120.355
1.0,153,75,318.83500000000004,265.2481899115463
1.0,153,76,431.57,442.21488073322126
1.0,153,77,351.05000000000007,374.2980253046237
1.0,153,78,432.60249999999996,429.5760627175592
1.0,153,79,446.3,442.57360249348426
1.0,153,80,450.87499999999994,440.2890566159867
1.0,153,81,459.3475,442.4670357084284
1.0,153,82,462.2525,440.6259595660062
1.0,153,83,452.04875000000004,439.2630809946751
1.0,153,84,436.2925,435.859564778734
1.0,153,85,302.4025,302.7039137803339
1.0,153,86,273.70500000000004,290.0868785354907
1.0,153,87,436.02500000000003,437.2007029180365
1.0,153,88,441.97499999999997,437.6252048071608
1.0,153,89,453.8725,437.47013945254844
1.0,153,90,447.39250000000004,441.83461052243206
1.0,153,91,440.9025,439.23237738052853
1.0,153,92,446.135,441.46015071158627
1.0,153,93,455.1875,441.65508738537056
1.0,153,94,448.0575,440.36332774584565
1.0,153,95,457.605,441.0445960400318
1.0,153,96,448.35,435.2415333762411
1.0,153,97,434.59250000000003,431.69493540213
1.0,153,98,229.6625,261.2222274675158
1.0,153,99,153.07,160.9829284353777
1.0,153,100,169.6325,169.69569085775146
1.0,153,101,243.86,251.37866466321879
1.0,153,102,427.3325,422.94419829803076
1.0,153,103,313.6375,317.95861063527207
1.0,153,104,186.2275,188.31306369309578
1.0,153,105,411.6325,418.93945982262807
1.0,153,106,435.065,435.53508826994994
1.0,153,107,434.69,435.7444798005903
1.0,153,108,436.5025,435.8595953619146
1.0,153,109,435.0575,435.7403332674919
1.0,153,110,442.32000000000005,437.5049587703134
1.0,153,111,450.2675,437.45387825249696
1.0,153,112,337.9925,372.8342422304721
1.0,153,113,237.31,241.26610037308575
1.0,153,114,414.0625,387.6045309383618
1.0,153,115,440.10999999999996,434.58921430043307
1.0,153,116,440.665,434.70952870715786
1.0,153,117,439.8125,435.1801478424751
1.0,153,118,438.7925,440.5538179198845
1.0,153,119,439.7975,436.81593524946413
1.0,153,120,316.2925,319.4209743556834
1.0,153,121,125.25,121.24405804726138
1.0,153,122,283.525,290.20514105977213
